Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Sensor Anomalies,Data Anomaly,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Data Type Level-1,Sensor Identifier,Ephemeris Type,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LT05_L1TP_165043_19990731_20180616_01_T1,LT51650431999212RSA00,1999/07/31,LANDSAT_5,T1,1,SAM, 165, 043,2018/06/16,1999:212:06:54:57.2625600,1999:212:06:55:24.3556300,RSA,DAY,5,5,171,4,8.931,8.314,3.262,N,,9,N,LPGS_13.1.0,FULL,61.09531824,96.3915495,TM_L1TP,TM,DEFINITIVE,6981,7721,6981,7721,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990701_19990930_01.03,24°33'40.10"N,47°24'37.94"E,25°28'59.84"N,46°41'45.67"E,25°13'09.91"N,48°30'38.63"E,23°53'44.34"N,46°19'16.36"E,23°38'05.96"N,48°06'50.11"E,24.56114,47.41054,25.48329,46.69602,25.21942,48.51073,23.89565,46.32121,23.63499,48.11392,LT05_L1TP_165043_19990731_20180616_01_T1,LT51650431999212RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999212RSA00
LT05_L1TP_166043_19990722_20180822_01_T1,LT51660431999203RSA00,1999/07/22,LANDSAT_5,T1,1,SAM, 166, 043,2018/08/22,1999:203:07:01:09.5546300,1999:203:07:01:36.6471300,RSA,DAY,0,0,209,4,3.878,2.901,2.573,N,,9,N,LPGS_13.1.0,FULL,61.66573448,92.40514406,TM_L1TP,TM,DEFINITIVE,7041,7771,7041,7771,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990701_19990930_01.03,24°33'31.39"N,45°53'09.28"E,25°28'51.13"N,45°10'17.04"E,25°13'01.24"N,46°59'09.85"E,23°53'35.59"N,44°47'47.76"E,23°37'57.25"N,46°35'21.41"E,24.55872,45.88591,25.48087,45.1714,25.21701,46.98607,23.89322,44.7966,23.63257,46.58928,LT05_L1TP_166043_19990722_20180822_01_T1,LT51660431999203RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999203RSA00
LT05_L1TP_165043_19990715_20180713_01_T1,LT51650431999196RSA00,1999/07/15,LANDSAT_5,T1,1,SAM, 165, 043,2018/07/13,1999:196:06:54:58.0747500,1999:196:06:55:25.1668800,RSA,DAY,0,0,160,4,11.224,10.791,3.087,N,,9,N,LPGS_13.1.0,FULL,62.08266899,89.91316385,TM_L1TP,TM,DEFINITIVE,6991,7711,6991,7711,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990701_19990930_01.03,24°33'16.74"N,47°27'15.52"E,25°28'36.48"N,46°44'23.39"E,25°12'46.58"N,48°33'15.95"E,23°53'20.94"N,46°21'54.14"E,23°37'42.60"N,48°09'27.58"E,24.55465,47.45431,25.4768,46.73983,25.21294,48.55443,23.88915,46.36504,23.6285,48.15766,LT05_L1TP_165043_19990715_20180713_01_T1,LT51650431999196RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999196RSA00
LT05_L1TP_166043_19990706_20180714_01_T1,LT51660431999187RSA00,1999/07/06,LANDSAT_5,T1,1,SAM, 166, 043,2018/07/14,1999:187:07:01:12.6534400,1999:187:07:01:39.7449400,RSA,DAY,0,0,192,4,3.937,2.855,2.711,N,,9,N,LPGS_13.1.0,FULL,62.61313023,87.62346941,TM_L1TP,TM,PREDICTIVE,7041,7761,7041,7761,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990701_19990930_01.03,24°33'13.28"N,45°55'13.26"E,25°28'33.02"N,45°12'21.13"E,25°12'43.13"N,47°01'13.66"E,23°53'17.48"N,44°49'51.92"E,23°37'39.14"N,46°37'25.28"E,24.55369,45.92035,25.47584,45.20587,25.21198,47.02046,23.88819,44.83109,23.62754,46.62369,LT05_L1TP_166043_19990706_20180714_01_T1,LT51660431999187RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999187RSA00
LT05_L1TP_165043_19990629_20180822_01_T2,LT51650431999180RSA00,1999/06/29,LANDSAT_5,T2,1,SAM, 165, 043,2018/08/22,1999:180:06:55:02.6000600,1999:180:06:55:29.6910600,RSA,DAY,2,2,152,4,12.149,11.704,3.258,N,,9,N,LPGS_13.1.0,FULL,63.01320652,86.59802139,TM_L1TP,TM,PREDICTIVE,6981,7701,6981,7701,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°32'59.35"N,47°28'57.47"E,25°28'19.06"N,46°46'05.41"E,25°12'29.23"N,48°34'57.76"E,23°53'03.52"N,46°23'36.24"E,23°37'25.25"N,48°11'09.46"E,24.54982,47.48263,25.47196,46.76817,25.20812,48.58271,23.88431,46.3934,23.62368,48.18596,LT05_L1TP_165043_19990629_20180822_01_T2,LT51650431999180RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999180RSA00
LT05_L1GS_165043_19990613_20180822_01_T2,LT51650431999164RSA01,1999/06/13,LANDSAT_5,T2,1,SAM, 165, 043,2018/08/22,1999:164:06:55:13.0901900,1999:164:06:55:40.1801300,RSA,DAY,0,0,-1,-1,,,,N,,9,N,LPGS_13.1.0,FULL,63.81859588,87.00821104,TM_L1GS,TM,DEFINITIVE,7351,7631,7351,7631,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°32'56.94"N,47°29'00.71"E,25°28'16.64"N,46°46'08.65"E,25°12'26.82"N,48°35'00.96"E,23°53'01.10"N,46°23'39.52"E,23°37'22.84"N,48°11'12.66"E,24.54915,47.48353,25.47129,46.76907,25.20745,48.5836,23.88364,46.39431,23.62301,48.18685,LT05_L1GS_165043_19990613_20180822_01_T2,LT51650431999164RSA01,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999164RSA01
LT05_L1TP_166043_19990604_20180823_01_T1,LT51660431999155RSA00,1999/06/04,LANDSAT_5,T1,1,SAM, 166, 043,2018/08/23,1999:155:07:01:29.2863100,1999:155:07:01:56.3758100,RSA,DAY,0,0,193,4,4.033,2.905,2.797,N,,9,N,LPGS_13.1.0,FULL,64.097365,88.95884709,TM_L1TP,TM,PREDICTIVE,7041,7751,7041,7751,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°32'50.60"N,45°56'23.93"E,25°28'10.31"N,45°13'31.91"E,25°12'20.48"N,47°02'24.14"E,23°52'54.77"N,44°51'02.77"E,23°37'16.50"N,46°38'35.88"E,24.54739,45.93998,25.46953,45.22553,25.20569,47.04004,23.88188,44.85077,23.62125,46.6433,LT05_L1TP_166043_19990604_20180823_01_T1,LT51660431999155RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999155RSA00
LT05_L1TP_165043_19990528_20180713_01_T1,LT51650431999148RSA00,1999/05/28,LANDSAT_5,T1,1,SAM, 165, 043,2018/07/13,1999:148:06:55:24.3236300,1999:148:06:55:51.4127500,RSA,DAY,0,0,145,4,8.494,8.013,2.818,N,,9,N,LPGS_13.1.0,FULL,64.14979628,91.30455475,TM_L1TP,TM,PREDICTIVE,6981,7691,6981,7691,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°33'07.92"N,47°28'51.31"E,25°28'27.66"N,46°45'59.22"E,25°12'37.80"N,48°34'51.67"E,23°53'12.12"N,46°23'30.01"E,23°37'33.78"N,48°11'03.34"E,24.5522,47.48092,25.47435,46.76645,25.2105,48.58102,23.8867,46.39167,23.62605,48.18426,LT05_L1TP_165043_19990528_20180713_01_T1,LT51650431999148RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999148RSA00
LT05_L1TP_166043_19990519_20180822_01_T1,LT51660431999139RSA00,1999/05/19,LANDSAT_5,T1,1,SAM, 166, 043,2018/08/22,1999:139:07:01:48.8960000,1999:139:07:02:15.9846300,RSA,DAY,0,0,184,4,4.388,3.355,2.828,N,,9,N,LPGS_13.1.0,FULL,63.92569425,95.22224987,TM_L1TP,TM,PREDICTIVE,7041,7751,7041,7751,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°33'35.50"N,45°54'09.94"E,25°28'55.24"N,45°11'17.70"E,25°13'05.30"N,47°00'10.55"E,23°53'39.73"N,44°48'48.38"E,23°38'01.36"N,46°36'22.07"E,24.55986,45.90276,25.48201,45.18825,25.21814,47.00293,23.89437,44.81344,23.63371,46.60613,LT05_L1TP_166043_19990519_20180822_01_T1,LT51660431999139RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999139RSA00
LT05_L1TP_165043_19990512_20180823_01_T1,LT51650431999132RSA00,1999/05/12,LANDSAT_5,T1,1,SAM, 165, 043,2018/08/23,1999:132:06:55:48.0906300,1999:132:06:56:15.1787500,RSA,DAY,0,0,183,4,8.577,7.916,3.301,N,,9,N,LPGS_13.1.0,FULL,63.46678995,98.79780877,TM_L1TP,TM,PREDICTIVE,6991,7701,6991,7701,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°33'38.45"N,47°25'27.01"E,25°28'58.19"N,46°42'34.74"E,25°13'08.26"N,48°31'27.66"E,23°53'42.68"N,46°20'05.46"E,23°38'04.31"N,48°07'39.18"E,24.56068,47.42417,25.48283,46.70965,25.21896,48.52435,23.89519,46.33485,23.63453,48.12755,LT05_L1TP_165043_19990512_20180823_01_T1,LT51650431999132RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999132RSA00
LT05_L1TP_166043_19990503_20171214_01_T1,LT51660431999123RSA00,1999/05/03,LANDSAT_5,T1,1,SAM, 166, 043,2017/12/14,1999:123:07:02:06.1893800,1999:123:07:02:33.2768100,RSA,DAY,11,11,161,4,3.575,2.494,2.561,N,,9,N,LPGS_13.0.0,FULL,62.45705479,103.78724524,TM_L1TP,TM,DEFINITIVE,7041,7771,7041,7771,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°33'54.50"N,45°52'15.78"E,25°29'14.28"N,45°09'23.44"E,25°13'24.31"N,46°58'16.57"E,23°53'58.74"N,44°46'54.08"E,23°38'20.33"N,46°34'28.02"E,24.56514,45.87105,25.4873,45.15651,25.22342,46.97127,23.89965,44.78169,23.63898,46.57445,LT05_L1TP_166043_19990503_20171214_01_T1,LT51660431999123RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999123RSA00
LT05_L1TP_165043_19990426_20161218_01_T1,LT51650431999116XXX03,1999/04/26,LANDSAT_5,T1,1,, 165, 043,2016/12/18,1999:116:06:55:57.9774400,1999:116:06:56:25.0649400,XXX,DAY,0,0,171,4,6.032,5.23,3.006,N,,9,N,LPGS_12.8.2,FULL,61.33244195,107.74450005,TM_L1TP,TM,DEFINITIVE,6981,7721,6981,7721,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°33'34.63"N,47°25'17.11"E,25°28'54.37"N,46°42'24.88"E,25°13'04.48"N,48°31'17.72"E,23°53'38.87"N,46°19'55.56"E,23°38'00.49"N,48°07'29.24"E,24.55962,47.42142,25.48177,46.70691,25.21791,48.52159,23.89413,46.3321,23.63347,48.12479,LT05_L1TP_165043_19990426_20161218_01_T1,LT51650431999116XXX03,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999116XXX03
LT05_L1TP_166043_19990417_20180822_01_T1,LT51660431999107RSA00,1999/04/17,LANDSAT_5,T1,1,SAM, 166, 043,2018/08/22,1999:107:07:02:09.7181300,1999:107:07:02:36.8050600,RSA,DAY,29,29,167,4,3.531,2.504,2.49,N,,9,N,LPGS_13.1.0,FULL,59.47282278,112.70874785,TM_L1TP,TM,DEFINITIVE,7041,7781,7041,7781,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°33'26.93"N,45°53'31.56"E,25°28'46.67"N,45°10'39.36"E,25°12'56.77"N,46°59'32.10"E,23°53'31.13"N,44°48'10.08"E,23°37'52.79"N,46°35'43.66"E,24.55748,45.8921,25.47963,45.1776,25.21577,46.99225,23.89198,44.8028,23.63133,46.59546,LT05_L1TP_166043_19990417_20180822_01_T1,LT51660431999107RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999107RSA00
LT05_L1TP_166043_19990401_20161218_01_T1,LT51660431999091XXX02,1999/04/01,LANDSAT_5,T1,1,, 166, 043,2016/12/18,1999:091:07:02:08.0764400,1999:091:07:02:35.1625000,XXX,DAY,1,1,201,4,3.403,2.059,2.709,N,,9,N,LPGS_12.8.2,FULL,55.2071367,120.6315435,TM_L1TP,TM,DEFINITIVE,7041,7771,7041,7771,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990401_19990630_01.03,24°32'55.79"N,45°55'49.69"E,25°28'15.49"N,45°12'57.64"E,25°12'25.67"N,47°01'49.94"E,23°52'59.95"N,44°50'28.50"E,23°37'21.68"N,46°38'01.64"E,24.54883,45.93047,25.47097,45.21601,25.20713,47.03054,23.88332,44.84125,23.62269,46.63379,LT05_L1TP_166043_19990401_20161218_01_T1,LT51660431999091XXX02,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999091XXX02
LT05_L1TP_165043_19990325_20180823_01_T1,LT51650431999084RSA01,1999/03/25,LANDSAT_5,T1,1,SAM, 165, 043,2018/08/23,1999:084:06:56:05.1766900,1999:084:06:56:32.2625600,RSA,DAY,0,0,197,4,4.235,3.035,2.954,N,,9,N,LPGS_13.1.0,FULL,53.06651838,123.67407166,TM_L1TP,TM,DEFINITIVE,6991,7721,6991,7721,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990101_19990331_01.03,24°33'11.16"N,47°27'22.03"E,25°28'30.90"N,46°44'29.90"E,25°12'41.00"N,48°33'22.43"E,23°53'15.36"N,46°22'00.70"E,23°37'37.02"N,48°09'34.06"E,24.5531,47.45612,25.47525,46.74164,25.21139,48.55623,23.8876,46.36686,23.62695,48.15946,LT05_L1TP_165043_19990325_20180823_01_T1,LT51650431999084RSA01,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999084RSA01
LT05_L1TP_165043_19990309_20180728_01_T1,LT51650431999068RSA00,1999/03/09,LANDSAT_5,T1,1,SAM, 165, 043,2018/07/28,1999:068:06:56:20.8270000,1999:068:06:56:47.9121300,RSA,DAY,1,1,215,4,4.161,2.764,3.11,N,,9,N,LPGS_13.1.0,FULL,47.94134675,129.74389117,TM_L1TP,TM,DEFINITIVE,6991,7701,6991,7701,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990101_19990331_01.03,24°33'45.11"N,47°25'05.05"E,25°29'04.85"N,46°42'12.78"E,25°13'14.92"N,48°31'05.77"E,23°53'49.34"N,46°19'43.43"E,23°38'10.93"N,48°07'17.22"E,24.56253,47.41807,25.48468,46.70355,25.22081,48.51827,23.89704,46.32873,23.63637,48.12145,LT05_L1TP_165043_19990309_20180728_01_T1,LT51650431999068RSA00,https://earthexplorer.usgs.gov/browse-link/12266/LT51650431999068RSA00
LT05_L1TP_166043_19990228_20161219_01_T1,LT51660431999059XXX02,1999/02/28,LANDSAT_5,T1,1,, 166, 043,2016/12/19,1999:059:07:02:38.6033800,1999:059:07:03:05.6881300,XXX,DAY,4,4,169,4,4.079,2.539,3.192,N,,9,N,LPGS_12.8.2,FULL,45.10135132,132.71400204,TM_L1TP,TM,DEFINITIVE,7041,7751,7041,7751,UTM,38,WGS84,WGS84,30,30,LT05CPF_19990101_19990331_01.03,24°34'10.31"N,45°51'32.40"E,25°29'30.08"N,45°08'39.98"E,25°13'40.08"N,46°57'33.34"E,23°54'14.58"N,44°46'10.56"E,23°38'36.13"N,46°33'44.71"E,24.56953,45.859,25.49169,45.14444,25.2278,46.95926,23.90405,44.7696,23.64337,46.56242,LT05_L1TP_166043_19990228_20161219_01_T1,LT51660431999059XXX02,https://earthexplorer.usgs.gov/browse-link/12266/LT51660431999059XXX02
