Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_166043_20180928_20180928_01_RT,LC81660432018271LGN00,2018/09/28,RT,1, 166, 043, 166, 043,NADIR,-.001,2018/09/28,2018:271:07:23:06.0269120,2018:271:07:23:37.7969100,LGN,DAY,0,0,555,4,6.652,4.872,4.529,9,LPGS_13.1.0,56.56649805,139.71536993,PRELIMINARY,OLI_TIRS_L1TP,OLI_TIRS,15481,15201,7741,7601,7741,7601,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180928070600_20180928084852.01,LT8BPF20180925122426_20180925144501.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.23"N,45°57'09.07"E,25°35'57.44"N,45°14'16.87"E,25°13'34.46"N,47°05'08.20"E,23°52'09.88"N,44°49'48.36"E,23°29'42.29"N,46°39'07.49"E,24.55312,45.95252,25.59929,45.23802,25.22624,47.08561,23.86941,44.8301,23.49508,46.65208,LC08_L1TP_166043_20180928_20180928_01_RT,LC81660432018271LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018271LGN00
LC08_L1TP_165043_20180921_20180928_01_T1,LC81650432018264LGN00,2018/09/21,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/09/28,2018:264:07:16:51.2327410,2018:264:07:17:23.0027400,LGN,DAY,0,0,340,4,6.939,4.937,4.876,9,LPGS_13.1.0,58.3442425,135.70529796,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180921065945_20180921083751.01,LT8BPF20180910115011_20180925122426.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.20"N,47°30'19.69"E,25°35'57.77"N,46°47'26.77"E,25°13'34.21"N,48°38'19.57"E,23°52'10.27"N,46°22'58.01"E,23°29'42.18"N,48°12'18.58"E,24.55311,47.50547,25.59938,46.79077,25.22617,48.63877,23.86952,46.38278,23.49505,48.20516,LC08_L1TP_165043_20180921_20180928_01_T1,LC81650432018264LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018264LGN00
LC08_L1TP_166043_20180912_20180927_01_T1,LC81660432018255LGN00,2018/09/12,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/09/27,2018:255:07:22:59.9031370,2018:255:07:23:31.6731350,LGN,DAY,0,0,550,4,6.502,4.821,4.363,9,LPGS_13.1.0,60.38722581,129.970734,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180912070554_20180912084359.01,LT8BPF20180910115011_20180925122426.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.91"N,45°57'26.06"E,25°35'57.34"N,45°14'34.80"E,25°13'34.32"N,47°05'24.97"E,23°52'09.52"N,44°50'05.78"E,23°29'41.93"N,46°39'23.80"E,24.55303,45.95724,25.59926,45.243,25.2262,47.09027,23.86931,44.83494,23.49498,46.65661,LC08_L1TP_166043_20180912_20180927_01_T1,LC81660432018255LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018255LGN00
LC08_L1TP_165043_20180905_20180912_01_T1,LC81650432018248LGN00,2018/09/05,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/09/12,2018:248:07:16:47.0577020,2018:248:07:17:18.8277000,LGN,DAY,3.82,3.82,292,4,7.604,5.026,5.707,9,LPGS_13.1.0,61.76448001,125.14948076,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15061,7691,7531,7691,7531,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180905065941_20180905083747.01,LT8BPF20180827051943_20180910114155.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.26"N,47°29'59.50"E,25°35'56.58"N,46°47'07.58"E,25°13'33.10"N,48°37'59.23"E,23°52'08.98"N,46°22'38.42"E,23°29'40.96"N,48°11'57.88"E,24.55285,47.49986,25.59905,46.78544,25.22586,48.63312,23.86916,46.37734,23.49471,48.19941,LC08_L1TP_165043_20180905_20180912_01_T1,LC81650432018248LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018248LGN00
LC08_L1TP_166043_20180827_20180911_01_T1,LC81660432018239LGN00,2018/08/27,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/09/11,2018:239:07:22:54.7113110,2018:239:07:23:26.4813100,LGN,DAY,0,0,543,4,7.016,5.056,4.865,9,LPGS_13.1.0,63.24088394,118.69098871,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180827065616_20180827084354.01,LT8BPF20180827051943_20180910114155.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'10.48"N,45°57'14.00"E,25°35'57.12"N,45°14'22.96"E,25°13'33.85"N,47°05'12.70"E,23°52'09.26"N,44°49'53.58"E,23°29'41.42"N,46°39'11.20"E,24.55291,45.95389,25.5992,45.23971,25.22607,47.08686,23.86924,44.83155,23.49484,46.65311,LC08_L1TP_166043_20180827_20180911_01_T1,LC81660432018239LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018239LGN00
LC08_L1TP_165043_20180820_20180829_01_T1,LC81650432018232LGN01,2018/08/20,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/08/29,2018:232:07:16:40.8027260,2018:232:07:17:12.5727250,LGN,DAY,0,0,303,4,7.926,5.05,6.109,9,LPGS_13.1.0,64.17204485,113.62454352,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180820065935_20180820083740.01,LT8BPF20180812105949_20180827025847.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.92"N,47°29'57.05"E,25°35'58.52"N,46°47'05.21"E,25°13'34.86"N,48°37'56.82"E,23°52'10.96"N,46°22'35.87"E,23°29'42.72"N,48°11'55.28"E,24.55331,47.49918,25.59959,46.78478,25.22635,48.63245,23.86971,46.37663,23.4952,48.19869,LC08_L1TP_165043_20180820_20180829_01_T1,LC81650432018232LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018232LGN01
LC08_L1TP_166043_20180811_20180815_01_T1,LC81660432018223LGN00,2018/08/11,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/08/15,2018:223:07:22:47.0723090,2018:223:07:23:18.8423080,LGN,DAY,0,0,529,4,7.089,5.111,4.912,9,LPGS_13.1.0,65.12953636,107.32938746,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15181,7741,7591,7741,7591,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180811070541_20180811084347.01,LT8BPF20180728131828_20180812101713.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.02"N,45°57'24.05"E,25°35'57.55"N,45°14'32.93"E,25°13'34.03"N,47°05'23.03"E,23°52'09.80"N,44°50'03.41"E,23°29'41.71"N,46°39'21.31"E,24.55306,45.95668,25.59932,45.24248,25.22612,47.08973,23.86939,44.83428,23.49492,46.65592,LC08_L1TP_166043_20180811_20180815_01_T1,LC81660432018223LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018223LGN00
LC08_L1TP_165043_20180804_20180814_01_T1,LC81650432018216LGN00,2018/08/04,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/08/14,2018:216:07:16:32.2069760,2018:216:07:17:03.9769750,LGN,DAY,.23,.23,265,4,8.817,5.63,6.785,9,LPGS_13.1.0,65.72187654,102.77009176,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180804065305_20180804083158.01,LT8BPF20180728131828_20180812101713.01,LC08CPF_20180701_20180930_01.02,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.95"N,47°30'16.45"E,25°35'58.60"N,46°47'24.25"E,25°13'34.75"N,48°38'16.40"E,23°52'11.14"N,46°22'54.88"E,23°29'42.68"N,48°12'14.80"E,24.55332,47.50457,25.59961,46.79007,25.22632,48.63789,23.86976,46.38191,23.49519,48.20411,LC08_L1TP_165043_20180804_20180814_01_T1,LC81650432018216LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018216LGN00
LC08_L1TP_166043_20180726_20180731_01_T1,LC81660432018207LGN00,2018/07/26,T1,1, 166, 043, 166, 043,NADIR,-.001,2018/07/31,2018:207:07:22:37.4345650,2018:207:07:23:09.2045640,LGN,DAY,0,0,519,4,7.836,5.351,5.724,9,LPGS_13.1.0,66.34127514,97.57473033,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15481,15201,7741,7601,7741,7601,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180726065846_20180726083739.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.56"N,45°57'52.63"E,25°35'58.16"N,45°15'01.44"E,25°13'34.43"N,47°05'51.94"E,23°52'10.60"N,44°50'31.81"E,23°29'42.29"N,46°39'50.08"E,24.55321,45.96462,25.59949,45.2504,25.22623,47.09776,23.86961,44.84217,23.49508,46.66391,LC08_L1TP_166043_20180726_20180731_01_T1,LC81660432018207LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81660432018207LGN00
LC08_L1TP_165043_20180719_20180731_01_T1,LC81650432018200LGN00,2018/07/19,T1,1, 165, 043, 165, 043,NADIR,-.001,2018/07/31,2018:200:07:16:24.1533560,2018:200:07:16:55.9233540,LGN,DAY,.1,.1,211,4,9.088,5.649,7.119,9,LPGS_13.1.0,66.75700448,94.17992264,FINAL,OLI_TIRS_L1TP,OLI_TIRS,15381,15081,7691,7541,7691,7541,UTM,38,WGS84,WGS84,15,30,30,LO8BPF20180719065209_20180719083724.01,LT8BPF20180713103008_20180728105743.01,LC08CPF_20180701_20180930_01.01,LC08RLUT_20150303_20431231_01_12.h5,24°33'11.16"N,47°30'17.14"E,25°35'57.91"N,46°47'24.72"E,25°13'33.82"N,48°38'17.38"E,23°52'10.67"N,46°22'55.20"E,23°29'42.00"N,48°12'15.66"E,24.5531,47.50476,25.59942,46.7902,25.22606,48.63816,23.86963,46.382,23.495,48.20435,LC08_L1TP_165043_20180719_20180731_01_T1,LC81650432018200LGN00,https://earthexplorer.usgs.gov/browse-link/12864/LC81650432018200LGN00
