Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Collection Number,WRS Path,WRS Row,Target WRS Path,Target WRS Row,Nadir/Off Nadir,Roll Angle,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality, Processing Software Version,Sun Elevation L1,Sun Azimuth L1,TIRS SSM Model,Data Type Level-1,Sensor Identifier,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Bias Parameter File Name OLI,Bias Parameter File Name TIRS, Calibration Parameter File,RLUT File Name,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LC08_L1TP_012031_20150727_20170226_01_T1,LC80120312015208LGN01,2015/07/27,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/02/26,2015:208:15:26:27.4053530,2015:208:15:26:59.1753490,LGN,DAY,80.06,86.84,56,4,7.799,5.904,5.095,9,LPGS_2.7.0,61.09216398,134.88694902,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150727151344_20150727153800.01,LT8BPF20150727150950_20150727154013.01,LC08CPF_20150701_20150930_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.70"N,71°18'40.68"W,42°48'56.16"N,72°09'37.84"W,42°24'01.87"N,69°53'58.27"W,41°06'02.30"N,72°41'49.20"W,40°41'17.74"N,70°29'41.86"W,41.75964,-71.3113,42.8156,-72.16051,42.40052,-69.89952,41.10064,-72.697,40.68826,-70.49496,LC08_L1TP_012031_20150727_20170226_01_T1,LC80120312015208LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015208LGN01
LC08_L1TP_012031_20150711_20170226_01_T1,LC80120312015192LGN01,2015/07/11,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/02/26,2015:192:15:26:21.9528220,2015:192:15:26:53.7228190,LGN,DAY,.76,4.37,643,4,7.547,4.585,5.994,9,LPGS_2.7.0,63.58119259,131.63056317,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150711151339_20150711153755.01,LT8BPF20150711150945_20150711153850.01,LC08CPF_20150701_20150930_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.96"N,71°19'13.08"W,42°48'56.38"N,72°10'10.78"W,42°24'01.73"N,69°54'30.13"W,41°06'02.84"N,72°42'22.28"W,40°41'17.95"N,70°30'13.86"W,41.75971,-71.3203,42.81566,-72.16966,42.40048,-69.90837,41.10079,-72.70619,40.68832,-70.50385,LC08_L1TP_012031_20150711_20170226_01_T1,LC80120312015192LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015192LGN01
LC08_L1TP_012031_20150625_20170226_01_T1,LC80120312015176LGN01,2015/06/25,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/02/26,2015:176:15:26:10.2468540,2015:176:15:26:42.0168500,LGN,DAY,13.17,7.72,532,4,7.641,4.704,6.021,9,LPGS_2.7.0,64.99282172,130.96774021,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150625133437_20150625153743.01,LT8BPF20150625150933_20150625153838.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.96"N,71°18'06.59"W,42°48'56.45"N,72°09'03.74"W,42°24'01.91"N,69°53'23.71"W,41°06'02.70"N,72°41'15.25"W,40°41'17.88"N,70°29'07.40"W,41.75971,-71.30183,42.81568,-72.15104,42.40053,-69.88992,41.10075,-72.68757,40.6883,-70.48539,LC08_L1TP_012031_20150625_20170226_01_T1,LC80120312015176LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015176LGN01
LC08_L1GT_012031_20150609_20170226_01_T2,LC80120312015160LGN01,2015/06/09,T2,1, 012, 031, 012, 031,NADIR,-.001,2017/02/26,2015:160:15:26:05.0340530,2015:160:15:26:36.8040490,LGN,DAY,99.99,99.96,-1,4,0,0,0,9,LPGS_2.7.0,65.09087471,133.02393375,ACTUAL,OLI_TIRS_L1GT,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150609133432_20150609153738.01,LT8BPF20150609150928_20150609153833.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.98"N,71°18'59.11"W,42°48'55.44"N,72°09'56.56"W,42°24'00.72"N,69°54'16.16"W,41°06'01.87"N,72°42'08.24"W,40°41'16.94"N,70°30'00.04"W,41.75944,-71.31642,42.8154,-72.16571,42.4002,-69.90449,41.10052,-72.70229,40.68804,-70.50001,LC08_L1GT_012031_20150609_20170226_01_T2,LC80120312015160LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015160LGN01
LC08_L1TP_012031_20150524_20170226_01_T1,LC80120312015144LGN01,2015/05/24,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/02/26,2015:144:15:25:54.6295400,2015:144:15:26:26.3995350,LGN,DAY,.16,.42,645,4,7.646,4.673,6.052,9,LPGS_2.7.0,63.61521835,136.83944591,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15801,8011,7901,8011,7901,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150524151315_20150524153727.01,LT8BPF20150524150921_20150524153822.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.77"N,71°18'39.13"W,42°48'55.51"N,72°09'36.40"W,42°24'00.90"N,69°53'56.62"W,41°06'01.55"N,72°41'47.98"W,40°41'16.66"N,70°29'40.34"W,41.75938,-71.31087,42.81542,-72.16011,42.40025,-69.89906,41.10043,-72.69666,40.68796,-70.49454,LC08_L1TP_012031_20150524_20170226_01_T1,LC80120312015144LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015144LGN01
LC08_L1TP_012031_20150508_20170227_01_T1,LC80120312015128LGN01,2015/05/08,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/02/27,2015:128:15:25:56.2703820,2015:128:15:26:28.0403780,LGN,DAY,7.13,29.57,620,4,7.773,5.166,5.808,9,LPGS_2.7.0,60.49324841,140.96276305,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150508133423_20150508153729.01,LT8BPF20150508150922_20150508153824.01,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.84"N,71°22'00.91"W,42°48'52.81"N,72°13'02.71"W,42°24'05.08"N,69°57'22.25"W,41°05'57.48"N,72°45'05.51"W,40°41'19.32"N,70°32'57.37"W,41.7594,-71.36692,42.81467,-72.21742,42.40141,-69.95618,41.0993,-72.75153,40.6887,-70.54927,LC08_L1TP_012031_20150508_20170227_01_T1,LC80120312015128LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015128LGN01
LC08_L1TP_012031_20150422_20170301_01_T1,LC80120312015112LGN01,2015/04/22,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/03/01,2015:112:15:26:12.0739820,2015:112:15:26:43.8439790,LGN,DAY,9.47,5.57,563,4,7.691,4.804,6.006,9,LPGS_2.7.0,55.9636544,144.54224113,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150422151332_20150422153745.02,LT8BPF20150422150938_20150422153839.02,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'34.13"N,71°23'02.22"W,42°48'52.99"N,72°14'04.20"W,42°24'04.93"N,69°58'23.12"W,41°05'57.98"N,72°46'07.21"W,40°41'19.50"N,70°33'58.50"W,41.75948,-71.38395,42.81472,-72.2345,42.40137,-69.97309,41.09944,-72.76867,40.68875,-70.56625,LC08_L1TP_012031_20150422_20170301_01_T1,LC80120312015112LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015112LGN01
LC08_L1TP_012031_20150406_20170227_01_T1,LC80120312015096LGN01,2015/04/06,T1,1, 012, 031, 012, 031,NADIR,-.001,2017/02/27,2015:096:15:26:13.5766850,2015:096:15:26:45.3466820,LGN,DAY,87.97,84.44,549,4,8.096,5.691,5.759,9,LPGS_2.7.0,50.37402799,147.22222647,ACTUAL,OLI_TIRS_L1TP,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150406151334_20150406155856.02,LT8BPF20150406150940_20150406155949.02,LC08CPF_20150401_20150630_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'35.32"N,71°20'36.53"W,42°48'54.40"N,72°11'38.90"W,42°24'05.76"N,69°55'56.71"W,41°05'59.71"N,72°43'42.24"W,40°41'20.69"N,70°31'32.41"W,41.75981,-71.34348,42.81511,-72.19414,42.4016,-69.93242,41.09992,-72.7284,40.68908,-70.52567,LC08_L1TP_012031_20150406_20170227_01_T1,LC80120312015096LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015096LGN01
LC08_L1GT_012031_20150321_20170228_01_T2,LC80120312015080LGN01,2015/03/21,T2,1, 012, 031, 012, 031,NADIR,-.001,2017/02/28,2015:080:15:26:24.5364480,2015:080:15:26:56.3064440,LGN,DAY,100,99.97,-1,4,0,0,0,9,LPGS_2.7.0,44.20978811,149.27490598,ACTUAL,OLI_TIRS_L1GT,OLI_TIRS,16021,15781,8011,7891,8011,7891,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150321151345_20150321160043.02,LT8BPF20150321150951_20150321160136.07,LC08CPF_20150302_20150331_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.80"N,71°20'45.85"W,42°48'52.96"N,72°11'48.52"W,42°24'03.82"N,69°56'05.57"W,41°05'58.63"N,72°43'52.28"W,40°41'19.10"N,70°31'41.66"W,41.75939,-71.34607,42.81471,-72.19681,42.40106,-69.93488,41.09962,-72.73119,40.68864,-70.52824,LC08_L1GT_012031_20150321_20170228_01_T2,LC80120312015080LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015080LGN01
LC08_L1GT_012031_20150305_20170227_01_T2,LC80120312015064LGN01,2015/03/05,T2,1, 012, 031, 012, 031,NADIR,-.001,2017/02/27,2015:064:15:26:34.2101790,2015:064:15:27:05.9801760,LGN,DAY,100,100,-1,4,0,0,0,9,LPGS_2.7.0,37.98843546,151.10411449,ACTUAL,OLI_TIRS_L1GT,OLI_TIRS,16021,15801,8011,7901,8011,7901,UTM,19,WGS84,WGS84,15,30,30,LO8BPF20150305151506_20150305160204.01,LT8BPF20150304143242_20150307001203.06,LC08CPF_20150302_20150331_01.01,LC08RLUT_20150303_20431231_01_12.h5,41°45'33.88"N,71°20'48.95"W,42°48'53.35"N,72°11'50.71"W,42°24'03.92"N,69°56'08.92"W,41°05'58.74"N,72°43'55.20"W,40°41'19.00"N,70°31'45.66"W,41.75941,-71.34693,42.81482,-72.19742,42.40109,-69.93581,41.09965,-72.732,40.68861,-70.52935,LC08_L1GT_012031_20150305_20170227_01_T2,LC80120312015064LGN01,https://earthexplorer.usgs.gov/browse-link/12864/LC80120312015064LGN01
