Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
LE07_L1TP_012031_20090413_20160917_01_T1,LE70120312009103EDC00,2009/04/13,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2016/09/17,2009:103:15:17:13.6138125,2009:103:15:17:40.3678125,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,0,0,147,4,4.255,3.08,2.936,9,N,LPGS_12.8.1,FULL,52.09628838,142.74965609,DE,-15.675341,ETM_L1TP,ETM,DEFINITIVE,14741,16481,7371,8241,7371,8241,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090401_20090630_01.02,2,41°45'20.45"N,71°22'20.32"W,42°42'59.11"N,72°15'10.15"W,42°23'00.46"N,69°57'55.26"W,41°06'55.48"N,72°45'04.39"W,40°47'26.66"N,70°31'07.28"W,41.75568,-71.37231,42.71642,-72.25282,42.38346,-69.96535,41.11541,-72.75122,40.79074,-70.51869,LE07_L1TP_012031_20090413_20160917_01_T1,LE70120312009103EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009103EDC00
LE07_L1TP_012031_20090328_20160917_01_T1,LE70120312009087EDC00,2009/03/28,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2016/09/17,2009:087:15:17:08.4030625,2009:087:15:17:35.1570000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,58,69,54,4,3.695,2.855,2.346,9,N,LPGS_12.8.1,FULL,46.17535826,145.26844651,DE,13.245988,ETM_L1TP,ETM,DEFINITIVE,14761,16461,7381,8231,7381,8231,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090101_20090331_01.02,2,41°45'20.84"N,71°21'28.44"W,42°42'48.13"N,72°14'20.65"W,42°22'49.51"N,69°57'07.78"W,41°06'44.93"N,72°44'17.16"W,40°47'15.90"N,70°30'22.07"W,41.75579,-71.3579,42.71337,-72.23907,42.38042,-69.95216,41.11248,-72.7381,40.78775,-70.50613,LE07_L1TP_012031_20090328_20160917_01_T1,LE70120312009087EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009087EDC00
LE07_L1TP_012031_20090312_20160918_01_T1,LE70120312009071EDC00,2009/03/12,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2016/09/18,2009:071:15:17:01.6584374,2009:071:15:17:28.4124374,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,39,28,176,4,4.201,3.162,2.766,9,N,LPGS_12.8.1,FULL,39.94557696,147.36678759,DE,-14.794403,ETM_L1TP,ETM,DEFINITIVE,14741,16481,7371,8241,7371,8241,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090101_20090331_01.02,2,41°45'19.37"N,71°20'29.69"W,42°42'44.10"N,72°13'24.42"W,42°22'45.08"N,69°56'10.36"W,41°06'41.69"N,72°43'18.91"W,40°47'12.08"N,70°29'22.81"W,41.75538,-71.34158,42.71225,-72.22345,42.37919,-69.93621,41.11158,-72.72192,40.78669,-70.48967,LE07_L1TP_012031_20090312_20160918_01_T1,LE70120312009071EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009071EDC00
LE07_L1TP_012031_20090224_20160917_01_T1,LE70120312009055EDC00,2009/02/24,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2016/09/17,2009:055:15:16:53.3578125,2009:055:15:17:20.1117500,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,7,6,206,4,4.485,3.152,3.191,9,N,LPGS_12.8.1,FULL,33.93916347,149.38648533,DE,-9.434087,ETM_L1TP,ETM,DEFINITIVE,14701,16481,7351,8241,7351,8241,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090101_20090331_01.02,2,41°45'17.28"N,71°19'26.54"W,42°42'56.45"N,72°12'14.76"W,42°22'56.03"N,69°54'56.88"W,41°06'53.17"N,72°42'11.48"W,40°47'22.56"N,70°28'11.60"W,41.7548,-71.32404,42.71568,-72.2041,42.38223,-69.9158,41.11477,-72.70319,40.7896,-70.46989,LE07_L1TP_012031_20090224_20160917_01_T1,LE70120312009055EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009055EDC00
LE07_L1TP_012031_20090208_20160917_01_T1,LE70120312009039EDC00,2009/02/08,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2016/09/17,2009:039:15:16:43.7006250,2009:039:15:17:10.4545000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,36,43,72,4,6.99,6.056,3.491,9,N,LPGS_12.8.1,FULL,28.68930466,151.54026462,DE,-12.800855,ETM_L1TP,ETM,DEFINITIVE,14701,16501,7351,8251,7351,8251,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090101_20090331_01.02,2,41°45'15.41"N,71°18'17.75"W,42°42'45.00"N,72°11'11.15"W,42°22'43.79"N,69°53'50.39"W,41°06'41.76"N,72°41'10.07"W,40°47'10.28"N,70°27'07.34"W,41.75428,-71.30493,42.7125,-72.18643,42.37883,-69.89733,41.1116,-72.68613,40.78619,-70.45204,LE07_L1TP_012031_20090208_20160917_01_T1,LE70120312009039EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009039EDC00
LE07_L1TP_012031_20090123_20160918_01_T1,LE70120312009023EDC00,2009/01/23,LANDSAT_7,OFF,T1,1,BUMPER, 012, 031,2016/09/18,2009:023:15:16:37.7880625,2009:023:15:17:04.5419999,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,19,11,110,4,4.727,3.34,3.345,9,N,LPGS_12.8.1,FULL,24.6719866,153.87933451,DE,8.823128,ETM_L1TP,ETM,DEFINITIVE,14741,16481,7371,8241,7371,8241,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090101_20090331_01.02,2,41°45'14.58"N,71°18'29.05"W,42°42'49.43"N,72°11'22.49"W,42°22'47.68"N,69°54'01.12"W,41°06'48.74"N,72°41'20.18"W,40°47'16.51"N,70°27'16.74"W,41.75405,-71.30807,42.71373,-72.18958,42.37991,-69.90031,41.11354,-72.68894,40.78792,-70.45465,LE07_L1TP_012031_20090123_20160918_01_T1,LE70120312009023EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009023EDC00
LE07_L1GT_012031_20090107_20160918_01_T2,LE70120312009007EDC00,2009/01/07,LANDSAT_7,OFF,T2,1,, 012, 031,2016/09/18,2009:007:15:16:32.6936874,2009:007:15:16:59.4476249,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,100,100,-1,-1,,,,9,N,LPGS_12.8.1,FULL,22.25490561,156.19196355,DE,-8.984326,ETM_L1GT,ETM,DEFINITIVE,14741,16481,7371,8241,7371,8241,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20090101_20090331_01.02,2,41°45'33.48"N,71°23'37.68"W,42°43'04.08"N,72°16'27.84"W,42°22'54.84"N,69°59'09.96"W,41°07'04.44"N,72°46'33.96"W,40°47'25.08"N,70°32'33.72"W,41.7593,-71.3938,42.7178,-72.2744,42.3819,-69.9861,41.1179,-72.7761,40.7903,-70.5427,LE07_L1GT_012031_20090107_20160918_01_T2,LE70120312009007EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312009007EDC00
LE07_L1TP_012031_20081222_20160919_01_T1,LE70120312008357EDC02,2008/12/22,LANDSAT_7,OFF,T1,1,, 012, 031,2016/09/19,2008:357:15:16:26.7627500,2008:357:15:16:53.5166875,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,6,7,167,4,4.413,3.142,3.099,9,N,LPGS_12.8.1,FULL,21.70038273,158.33288223,DE,-14.150723,ETM_L1TP,ETM,DEFINITIVE,14761,16461,7381,8231,7381,8231,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20081001_20081231_01.02,2,41°46'22.44"N,71°24'23.04"W,42°43'54.12"N,72°17'11.40"W,42°23'45.60"N,69°59'54.60"W,41°07'51.60"N,72°47'20.04"W,40°48'12.60"N,70°33'21.24"W,41.7729,-71.4064,42.7317,-72.2865,42.396,-69.9985,41.131,-72.7889,40.8035,-70.5559,LE07_L1TP_012031_20081222_20160919_01_T1,LE70120312008357EDC02,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312008357EDC02
LE07_L1TP_012031_20081206_20160918_01_T1,LE70120312008341EDC00,2008/12/06,LANDSAT_7,OFF,T1,1,, 012, 031,2016/09/18,2008:341:15:16:17.9293749,2008:341:15:16:44.6833124,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,3,6,184,4,4.191,3.139,2.777,9,N,LPGS_12.8.1,FULL,22.99544361,159.8247197,DE,14.755788,ETM_L1TP,ETM,DEFINITIVE,14761,16461,7381,8231,7381,8231,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20081001_20081231_01.02,2,41°47'03.84"N,71°25'11.28"W,42°44'35.88"N,72°17'58.92"W,42°24'28.80"N,70°00'42.84"W,41°08'33.36"N,72°48'05.04"W,40°48'55.80"N,70°34'06.96"W,41.7844,-71.4198,42.7433,-72.2997,42.408,-70.0119,41.1426,-72.8014,40.8155,-70.5686,LE07_L1TP_012031_20081206_20160918_01_T1,LE70120312008341EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312008341EDC00
LE07_L1TP_012031_20081120_20160918_01_T1,LE70120312008325EDC00,2008/11/20,LANDSAT_7,OFF,T1,1,, 012, 031,2016/09/18,2008:325:15:16:06.9095625,2008:325:15:16:33.6635000,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,40,54,158,4,3.93,3.032,2.501,9,N,LPGS_12.8.1,FULL,25.93531265,160.31895537,DE,10.34025,ETM_L1TP,ETM,DEFINITIVE,14701,16481,7351,8241,7351,8241,UTM,19,WGS84,WGS84,15,30,30,LE07CPF_20081001_20081231_01.02,2,41°47'36.96"N,71°25'45.84"W,42°45'20.88"N,72°18'31.32"W,42°25'14.88"N,70°01'13.08"W,41°09'18.00"N,72°48'38.16"W,40°49'41.52"N,70°34'37.92"W,41.7936,-71.4294,42.7558,-72.3087,42.4208,-70.0203,41.155,-72.8106,40.8282,-70.5772,LE07_L1TP_012031_20081120_20160918_01_T1,LE70120312008325EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE70120312008325EDC00
